도서코드,도서명,저자이름,역자이름,출판사,발행년도,도서가격,대여가능여부,총대여횟수,도서이미지,대분류번호,중분류번호,등록일자,폐기여부,도서이미지경로
0601.007-1,머시닝센타 프로그램과 가공,배종외,,151,2012.02.13,20000,0,0,,6,1,2019.07.15,0,
0601.008-1,움직이는 사물의 비밀,더스틴 로버츠,,152,2012.12.10,22000,0,0,,6,1,2019.07.15,0,
0601.009-1,자전거정비 분해조립편,장기철,,153,2014.04.10,28000,0,0,,6,1,2019.07.15,0,
0601.010-1,기계 공작법,이성영,,154,2011.02.25,26000,0,0,,6,1,2019.07.15,0,
0601.011-1,기계 금속재료 데이터북,메카피아,,150,2012.05.15,22000,0,0,,6,1,2019.07.15,0,
0601.012-1,엔진은 이렇게 되어있다,사와타리 쇼지,,155,2009.01.10,110000,0,0,,6,1,2019.07.15,0,
0601.013-1,신 일반기계공학,조성철,,156,2010.02.20,18000,0,0,,6,1,2019.07.15,0,
0601.014-1,휴보이즘,전승민,,94,2014.02.17,15000,0,0,,6,1,2019.07.15,0,
0601.015-1,자동차를 알고싶다,위을복,,157,2015.12.07,35000,0,0,,6,1,2019.07.15,0,
0601.016-1,모터를 알고싶다,정옥자,,158,2011.08.10,15000,0,0,,6,1,2019.07.15,0,
0602.001-1,침묵의 봄,레이첼카슨,,159,2011.12.30,18000,0,0,,6,2,2019.07.15,0,
0602.002-1,한국조경수목핸드북,김용식,,160,2010.11.30,30000,0,0,,6,2,2019.07.15,0,
0602.003-1,도시계획론,대한국토도시계획학회,,161,2016.03.10,30000,0,0,,6,2,2019.07.15,0,
0602.004-1,도시설계 - 장소만들기의 여섯 차원,강홍빈,,162,2009.04.30,27000,0,0,,6,2,2019.07.15,0,
0602.005-1,동양조경문화사,한국전통조경학회,,162,2011.03.08,30000,0,0,,6,2,2019.07.15,0,
0602.006-1,착한 도시가 지구를 살린다,정혜진,,163,2007.11.07,10000,0,0,,6,2,2019.07.15,0,
0602.007-1,푸른길과 옛 기찻길 동네,조동범,,164,2007.12.07,9800,0,1,,6,2,2019.07.15,0,
0602.008-1,생태도시 아바나의 탄생,요시다타로,,165,2016.03.29,14000,0,1,,6,2,2019.07.15,0,
0602.009-1,바다가 죽은 날,리키 오트,,166,2011.11.10,25000,0,1,,6,2,2019.07.15,0,
0602.010-1,우리 풍토에 맞는 생태하천,변찬우,,164,2010.06.17,20000,0,1,,6,2,2019.07.15,0,
0602.011-1,자연환경생태복원학원론,김귀곤,,167,2004.04.10,25000,0,1,,6,2,2019.07.15,0,
0602.012-1,자연재해로부터 우리 가족 지키기,편집부,,168,2012.01.01,6000,0,0,,6,2,2019.07.15,0,
0602.013-1,우리의 선택,엘 고어,,169,2010.04.12,28000,0,0,,6,2,2019.07.15,0,
0602.014-1,한반도의 댐,박치현,,170,2011.05.26,27000,0,0,,6,2,2019.07.15,0,
0801.001-1,EBS교육방송 한국어 능력시험 TOPIK 2,한국어능력시험연구회,,171,2014.06.10,14000,0,1,,8,1,2019.07.15,0,
0801.002-1,NEW서강한국어2B-S/B,최정순,,172,2008.10.20,26000,0,1,,8,1,2019.07.15,0,
0801.003-1,한국어 교육을 위한 한국어학,황경수,,173,2009.08.29,18000,0,1,,8,1,2019.07.15,0,
0801.004-1,국어지식탐구-국어교육을위한국어학개론,김광해,,174,1999.11.10,18000,0,1,,8,1,2019.07.15,0,
0801.005-1,한국어능력시험 TOPIK2(토픽2)쓰기,정은화,,171,2020.01.10,14000,0,1,,8,1,2020.01.10,0,
0802.001-1,가장 쉬운 스페인어 첫걸음의 모든 것,박기호,,175,2007.01.05,14500,0,1,,8,2,2019.07.15,0,
0802.002-1,내게는 특별한 스페인어를 부탁해,조혜진,,176,2011.08.19,14500,0,1,,8,2,2019.07.15,0,
0802.003-1,국가대표 이탈리아어 완전 첫걸음,이기철,,177,2009.12.25,14900,0,1,,8,2,2019.07.15,0,
0802.004-1,입에서 톡 이탈리아어,이기철,,178,2011.06.10,18000,0,1,,8,2,2019.07.15,0,
0802.005-1,터키어회화 첫걸음,김대성,,179,2007.08.20,13000,0,1,,8,2,2019.07.15,0,
1001.001-1,거꾸로 읽는 세계사,유시민,,180,2008.06.05,13000,0,2,,10,1,2019.07.17,0,
1001.002-1,나의 문화유산답사기 일본편,유홍준,,3,2013.07.24,16500,0,2,,10,1,2019.07.17,0,
1001.003-1,설민석의 삼국지,설민석,,181,2019.07.17,22000,0,2,,10,1,2019.07.17,0,
1001.004-1,사기열전,사마천,,1,2014.06.10,28000,0,2,,10,1,2019.07.17,0,
1001.005-1,국화와 칼,루스 베네딕트,,136,2008.11.15,10000,0,2,,10,1,2019.07.17,0,
1001.006-1,한국인을 위한 중국사,신성곤,,182,2004.04.07,22000,0,3,,10,1,2019.07.17,0,
1001.007-1,동양사 개론,신채식,,61,2009.02.20,35000,0,3,,10,1,2019.07.17,0,
1001.008-1,터키| 1만 년의 시간여행,유재원,,183,2010.04.25,22000,0,3,,10,1,2019.07.17,0,
1001.009-1,삼국지 강의,이중톈,,133,2007.05.19,16000,0,3,,10,1,2019.07.17,0,
1001.010-1,일본역사,연민수,,184,1998.11.10,10000,0,3,,10,1,2019.07.17,0,
1002.001-1,죽기 전에 한 번은 유대인을 만나라,랍비 조셉 텔루슈킨,,185,2012.05.07,28000,0,3,,10,2,2019.07.15,0,
1002.002-1,로마인 이야기,시오노나나미,,186,1995.09.30,11000,0,3,,10,2,2019.07.15,0,
1002.003-1,역사,헤로도토스,,187,2009.02.10,310000,0,3,,10,2,2019.07.16,0,
1002.004-1,술탄과 황제,김형오,,95,2012.11.21,25000,0,2,,10,2,2019.07.17,0,
1002.005-1,서양문화사,민석홍,,188,2006.02.20,110000,0,2,,10,2,2019.07.18,0,
1002.006-1,대항해시대,주경철,,189,2008.03.10,23000,0,0,,10,2,2019.07.19,0,
1002.007-1,유러피언 드림,제러미리프킨,,1,2005.01.18,22000,0,0,,10,2,2019.07.20,0,
1002.008-1,청소년을 위한 세계사(서양편),이강무,,190,2002.09.25,15000,0,0,,10,2,2019.07.21,0,
1002.009-1,하워드 진 살아있는 미국역사,하워드 진,,191,2008.03.25,13000,0,0,,10,2,2019.07.22,0,
1002.010-1,그리스:고대문명의 역사와 보물,스테파노마기,,192,2008.01.31,34000,0,0,,10,2,2019.07.23,0,
1002.011-1,칭기스칸 잠든 유럽을 깨우다,잭 웨더포드,,193,2005.03.28,14000,0,1,,10,2,2019.07.24,0,
1002.012-1,처음 읽는 아프리카의 역사,루츠판다이크,,194,2005.09.30,15000,0,1,,10,2,2019.07.25,0,
1002.013-1,단군의 나라 카가흐스탄,김정민,,195,2016.04.15,20000,0,1,,10,2,2019.07.26,0,
1002.014-1,서양사 강의,배영수,,76,2009.02.09,24000,0,1,,10,2,2019.07.27,0,
1002.015-1,북유럽 이야기,김민주,,196,2014.01.27,14000,0,1,,10,2,2019.07.28,0,북유럽 이야기.jpg
